By Designer,التصنيف حسب المصمم
You have no items to compare.,لم تقم بإضافة منتجات للمقارنة.
Availability: ,توّفر المنتج في المخزن:
Add to Cart,أضف إلى السلة
We Also Recommend,ننصحك أيضاً :
The tag has been deleted.,تم حذف الوسم.
No shipping information available,لم تحدد معلومات الشحن.
Check / Money order,الدفع من خلال صك(شيك) بنكي
My Downloadable Products,مشترياتي القابلة للتحميل
Thank you for your subscription.,شكراً للاشتراك في المتجر
Currently Shopping by:,أنت تتسوق الآن تبعاً لـ :
My Cart,سلتي
"<strong class=""pic-cart""></strong><span>%s</span><strong>My Cart</strong>","<strong class=""pic-cart""></strong><strong>سلتي</strong><span>(%s)</span>"
"<strong class=""pic-cart""></strong><span>0</span><strong>My Cart</strong>","<strong class=""pic-cart""></strong><strong>سلتي</strong><span>0</span>"
You have not tagged any products yet.,لم تقم بإضافة أي وسم
My Tags,الوسوم
"<a href=""%s"">Edit</a>","<a href=""%s"">تعديل</a>"
The address has been deleted.,تم حذف هذا العنوان.
"There is <a href=""%s"">1 item</a> in your cart.","يوجد <a href=""%s"">1 منتج</a> في سلة التسوق."
"There are <a href=""%s"">%s items</a> in your cart.","يوجد <a href=""%s"">%s منتج</a> في سلة التسوق."
Back to Shopping Cart,العودة إلى سلة التسوق
Send To,الشحن إلى
Shipping To ,الشحن إلى
Back to Select Addresses,الرجوع إلى قائمة العناويين
Back to Billing Information,الرجوع إلى معلومات الدفع
"<a href=""%s"">View Cart</a>","<a href=""%s"">سلة التسوق</a>"
Quote item is not found.,الرجاء إعادة إضافة المنتج إلى سلة التسوق.
Please specify the product required option(s).,من فضلك حدّد الخيارات في المنتج.
Please specify product option(s).,من فضلك حدّد الخيارات في المنتج.
The product %s has been removed from comparison list.,تم حذف %s من قائمة المقارنة.
Continue shopping,تابع التسوّق
View cart & checkout,مشاهدة سلة التسوق والدفع
Search...,بحث
 Added By ,أضيفت بواسطة
Brands,الماركات:
Requested wishlist doesn't exist,قائمة الأمنيات المطلوبة غير موجودة.
Only %s left,بقي %s فقط
Shopping Bag,سلة التسوق
Some of the products cannot be ordered in requested quantity.,بعض المنتجات لا يمكن طلبها بكميات قليلة.
Edit item parameters,تعديل خيارات المنتج.
Quantity:,الكمية:
Product's Review,تقييم المنتج
You may be interested in these products,قد يعجبك أيضاً:
يوجد مشكلة بالاشتراك: Please enter a valid email address.,من فضلك تأكّد من البريد الالكتروني الذي قمت بإضافته.
%s has been updated in your wishlist.,%s هذا المنتج تم تحديث في سلة الأمنيات
Update Cart,تحديث سلة الشراء
This email address is already assigned to another user.,هذا الإيميل موجود مسبقاً.
You may also be interested in the following product(s),قد يعجبك أيضاً:
# of Rooms:,عدد الغرف التي تريد حجزها:
Related deals,قد يعجبك عروض آخرى:
Please select your dates to checkout.,لم تقم باختيار تاريخ الحجز.
book,قم بالحجز
select your dates,تحديد تاريخ الحجز
Be the first to review this product,كن أول من يقييم هذا العرض
shopping cart,سلة الشراء
per Night.,في الليلة الواحدة.
Air Ticket,تذكرة السفر
Hotel,الفندق
BreakFast,الفطور
Flight,الرحلة
Pages,صفحات الموقع
Static Blocks,المساحات الثابتة
Catalog,المنتجات
Become Partner,كن شريكاً
"Sorry, no quotes are available for this order at this time.",لم يتم تحديد أي طريقة شحن
You have placed no orders.,لا يوجد طلبات شراء لك.
My products,منتجاتي
You dont have any products,لم تقم بإضافة أي منتج
Account Information,معلومات الحساب
Add New Product,أضف منتج جديد
Merchants,التجار
View My Products,مشاهدة منتجاتي
View My Orders,مشاهدة طلبات الشراء 
you dont have any orders,ليس لديك أي طلبات شراء
Create a product,أضف منتج جديد
Weight,الوزن
Quantity,الكميّة
Tax Class,فئة الضريبة
Short Description,وصف المنتج
default,الافتراضي
Taxable Goods,الضرائب على المنتجات
Shipping,الشحن
View as:,المشاهدة حسب:
Place Order,اتمام طلب الشراء
Please specify the product's required option(s).,من فضلك حدد الخيار الذي تريده من الأسفل.
Wholesale,البائع بالجملة
Home,الرئيسية
Contact us,اتصل بنا
Night, الليلة
Choose Your Destination,اختر وجهتك
Check out date,تاريخ المغادرة
Check in date,تاريخ الوصول
Be the first to review this product,كن أول من يقييم هذا العرض
Overview,عرض المنتج
Map,خريطة
Video,فيديو
Special Price,أسعار خاصة
Search for Hotels & Destinations,ابحث عن فنادق أو وجهات سفر
"s",""
"Sign in with <i class=""fa fa-facebook""></i>","دخول بواسطة <i class=""fa fa-facebook""></i>"
"Sign in with Facebook","دخول بواسطة فيسبوك"
"Your order # is: %s.","رقم طلبيتك هو: #%s."
"Review","التقييم"
"Overview","لمحة عامّة"
"Rating","التقييم"
" non rated ","لا تقييم"
"Available?","متوفّر ؟"
"Available","متوفّر"
"Best Sellers","الأكثر مبيعاً"
"Recent Products","أحدث المنتجات"
"Enter your search text here...","أدخل كلمات البحث هنا ..."
"LogIn", "تسجيل الدخول"
"Forget Password?","نسيت كلمة المرور؟"
"Show more","مشاهدة المزيد"
"On Sale","تخفيض"
"from","من"
"Your rating","تقييمك"
"Review","التقييم"
"Your review","تقييمك"
"Quality","الجودة"
"Proceed to checkout","اتمام عملية الشراء"
"Categories: ","التصنيفات: "
"Sign up","اشتراك"
"Enter your email...","أدخل أدخل بريدك الإلكتروني ..."
"Stay up to date with the latest deals & newest products","ابقى على علم بأحدث العروض والمنتجات"
"<span>My Cart</span><span>(%s)</span>","<span>سلّتي</span><span>(%s)</span>"
"<span>My Cart</span><span>(0)</span>","<span>سلّتي</span><span>(0)</span>"
"Enter Discount Codes","أدخل رمز الخصم"
"Choose Design","اختر تصميم"
"Choose Item","اختر منتج"
"Explore Theme","استكشف التصاميم"
"Choose your", "اختر "
"new.png","new-rtl.png"
"sale.png","sale-rtl.png"
"out-of-stock.png","out-of-stock-rtl.png"
"Add Review","أضف تقييم"
"Write a review","اكتب تقييم"
"More","المزيد"
"Less","المختصر"
"LogOut","تسجيل الخروج"
"Select","اختر"
"Your password reset link has expired.","انتهت صلاحية رابط استرجاع كلمة المرور الخاصّة بك."
"Sale","تخفيض"
"My Cart","سلة التسوّق"
"Languages","اللغات"
"Get in Touch | Contact Us", "اتصل بنا | ابقى على اتّصال"
"Send us a message and we will get back to you as soon as we can.", "أرسل لنا رسالة وسوف نرد عليك بأسرع وقت ممكن."
"Upsell Products","منتجات ذات صلة"
"Products Sitemap","خارطة المنتجات"
"Categories Sitemap","خارطة التصنيفات"
"of %s","من %s"
"Please wait...","يرجى الانتظار..."
"New Arrivals","وصل حديثاً"
"Log in","تسجيل الدخول"
"off","خصم"
"Add some to cart or","أضف بعض المنتجات أو "
" login", "قم بتسجيل الدخول"
"Total:","المجموع: "
"View cart", "سلّة التسوّق"
"Edit item", "تعديل"
"Find us","تفضّل بزيارتنا"
"Reviews","الآراء"
"Show More","عرض المزيد"
"Show Less","إخفاء"
"Checkout Method","طريقة الدفع"
"Checkout Progress","معلومات الدفع"
"Register with us for future convenience:","سجل معنا للراحة في المستقبل:"
"Please enter your details below to complete your purchase.","الرجاء إدخال التفاصيل الخاصة بك أدناه لإتمام عملية الشراء."
"Your shipping method.","طريقة الشحن الخاص بك."
"View full product details","عرض تفاصيل المنتج كامل"
"All Brands","جميع الماركات"
"Featured Brands","الماركات المميزة"
"Shop By Brand","التسوّق حسب الماركة"
"Manufacturer","الماركة"
