English,Arabic
Unable to find post to save,لا يمكن إيجاد المنشور للحفظ
Unapprove,غير موافق عليه
Unapproved,غير موافق عليه
Updated at,تم التحديث في
Use Categories ID in Posts URLs,استخدام معرّف التصنيف في رابط المنشور
Use Short Content Field,استخدام حقل المحتوى القصير
Use comma as separator,استخدام الفاصلة كفاصل
Valid values range from 0.0 to 1.0,مجال القيمة الصحيح هو من 0.0 إلى 1.0
"Yes, all pages",نعم، كل الصفحات
"Yes, only blog page",نعم، فقط صفحة المدوّنة
You must be logged in to comment.,يجب عليك تسجيل الدخول للتعليق
You must be logged in to post a comment.,يجب عليك تسجيل الدخول لإضافة تعليق
Your comment has been submitted and is awaiting approval.,تم إضافة تعليقك وهي بانتظار الموافقة على النشر
Your comment has been submitted.,تمّ إضافة تعليقك
"Your Recaptcha solution was incorrect, please try again",الإجابة خاطئة يرجى إعادة المحاولة
